"point_id","x","y","slaves_1860","slaves_1850","slaves_1840","slaves_1830","slaves_1820","slaves_1810","slaves_1800","slaves_1790","peak_slave","peak_year","total_1790","total_1800","total_1810","total_1820","total_1830","total_1840","total_1850","total_1860","total_1870"
10163,-646677,-366591,0,0.3159406185,0,0,0,0,0,0,0.3159406185,1850,0,0,0,0,0,0,4.91586,12.646,17.6046
10164,-621231,-366591,0,0.7149999738,0,0,0,0,0,0,0.7149999738,1850,0,0,0,0,0,0,11.125,0,0
10165,-595785,-366591,0,0.7149999738,0,0,0,0,0,0,0.7149999738,1850,0,0,0,0,0,0,11.125,0,0
10166,-570339,-366591,0,0.7149999738,0,0,0,0,0,0,0.7149999738,1850,0,0,0,0,0,0,11.125,0,0
10167,-544893,-366591,0,0.7149999738,0,0,0,0,0,0,0.7149999738,1850,0,0,0,0,0,0,11.125,0,0
10168,-519447,-366591,0,0.7149999738,0,0,0,0,0,0,0.7149999738,1850,0,0,0,0,0,0,11.125,0,0
10169,-494001,-366591,0,0.7149999738,0,0,0,0,0,0,0.7149999738,1850,0,0,0,0,0,0,11.125,0,0
10170,-468555,-366591,0,0.7149999738,0,0,0,0,0,0,0.7149999738,1850,0,0,0,0,0,0,11.125,0,0
10171,-443109,-366591,0,0.7149999738,0,0,0,0,0,0,0.7149999738,1850,0,0,0,0,0,0,11.125,0,0
10172,-417664,-366591,0,0.7149999738,0,0,0,0,0,0,0.7149999738,1850,0,0,0,0,0,0,11.125,0,0
10173,-392218,-366591,0,0.7149999738,0,0,0,0,0,0,0.7149999738,1850,0,0,0,0,0,0,11.125,0,0
10174,-366772,-366591,0,0.7149999738,0,0,0,0,0,0,0.7149999738,1850,0,0,0,0,0,0,11.125,0,0
10175,-341326,-366591,0,0.7149999738,0,0,0,0,0,0,0.7149999738,1850,0,0,0,0,0,0,11.125,0,0
10176,-315880,-366591,0,0.7149999738,0,0,0,0,0,0,0.7149999738,1850,0,0,0,0,0,0,11.125,0,0
10177,-290434,-366591,0,0.5568062663,0,0,0,0,0,0,0.5568062663,1850,0,0,0,0,0,0,8.66359,0,0
10178,-264988,-366591,0,0.3213031292,0,0,0,0,0,0,0.3213031292,1850,0,0,0,0,0,0,4.9993,0,0
10179,-239542,-366591,0,0.1532781273,0,0,0,0,0,0,0.1532781273,1850,0,0,0,0,0,0,2.38492,0,0
10180,-214096,-366591,0,0.0081112506,0,0,0,0,0,0,0.0081112506,1850,0,0,0,0,0,0,1.78381,3.84315,0
10181,-188650,-366591,0,0.0033475002,0,0,0,0,0,0,0.0033475002,1850,0,0,0,0,0,0,0.736174,1.58606,0
10182,-163204,-366591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10183,-137758,-366591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10184,-112312,-366591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10185,-86866,-366591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10186,-61420,-366591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10187,-35974,-366591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10188,-10528,-366591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10189,14918,-366591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
