"county","total_1960","black_1960","total_1910","black_1910","total_2010","black_2010"
51061,24066,6238,22526,7486,65203,5321
21195,68264,564,31679,332,65024,349
48409,45021,831,7307,79,64804,1071
39009,46998,1014,47798,1240,64757,1774
48347,28046,7508,27406,7030,64524,11731
36043,66370,84,56356,196,64519,700
13255,35404,9973,19741,10060,64073,21030
13047,21101,307,7184,476,63942,1392
26067,43132,1081,33550,90,63905,3019
51143,58296,19944,50709,20163,63506,14018
37037,26785,8408,22635,7668,63505,8392
13179,14487,6096,12924,8355,63453,26805
37163,48013,17251,29982,10043,63431,17128
26117,35795,64,32069,105,63342,1483
36115,48476,539,47778,197,63216,1893
36021,47322,1515,43658,1103,63096,2855
21199,34403,622,35986,1187,63063,727
41011,54955,40,17959,17,63043,258
42015,54925,57,54526,234,62622,311
47063,33092,2053,13650,1610,62544,2527
39087,55438,1798,39488,1789,62450,1278
55017,45096,3,32103,7,62415,982
54055,68206,7186,38371,5960,62264,3791
36077,51942,150,47216,104,62259,1066
55111,36179,17,32869,30,61976,357
5033,21318,534,23942,2063,61948,725
39167,51689,843,45422,1378,61778,664
22001,49931,9817,31847,6546,61773,11175
5115,21177,674,24527,1867,61754,1784
45055,33585,13355,27094,16444,61697,15188
50021,46719,29,48139,108,61642,334
26149,42332,635,25499,88,61295,1600
47167,28564,11188,29459,13353,61081,11449
48427,17137,0,13151,21,60968,69
39143,56486,797,35171,146,60944,1712
39083,38808,380,30181,323,60921,496
53045,16251,5,5156,6,60699,659
37069,28755,12718,24692,11564,60619,16212
37167,40873,4482,19909,2132,60585,6630
13157,18499,2368,30169,8613,60485,4103
21185,13388,1212,7248,1078,60316,2620
17077,42151,2901,35143,2696,60218,8589
45043,34798,18137,22270,16110,60158,20214
33001,28912,17,21309,41,60088,279
36037,53994,741,37615,162,60079,1612
37077,33110,14717,25102,12239,59916,19652
28087,46639,17743,30703,21784,59779,25993
18173,23577,251,21911,456,59689,803
39077,47326,534,34206,284,59626,614
50023,42860,42,41702,41,59534,441
37107,55276,21847,22769,10225,59495,24121
26015,31738,19,22633,23,59173,219
48497,17012,134,26450,67,59127,627
37087,39711,867,21020,567,59036,624
21125,24901,254,19872,657,58849,417
53071,42195,380,31931,152,58781,1079
37061,40270,15142,25442,9281,58505,14773
17195,59887,120,34507,62,58498,781
48001,28162,8358,29650,11323,58458,12310
29145,30093,153,27136,539,58114,438
37047,48973,16254,28020,8955,58098,17713
22113,38855,5008,26390,4500,57999,8286
37105,26561,5884,11376,3526,57866,11565
23017,44345,23,36256,30,57833,212
47019,41578,435,19838,660,57424,760
42103,9158,11,8033,72,57369,3322
1009,25449,835,21456,1181,57322,761
47073,30468,1050,23587,1805,56833,740
55021,36708,3,31129,18,56833,717
39147,59326,771,42421,157,56745,1305
50027,42483,49,33681,67,56670,327
18011,27543,41,24673,123,56640,495
37065,54226,28096,32010,19453,56552,32435
54049,63717,2737,42794,851,56418,1858
51067,25925,3738,26480,5435,56159,4575
47035,19135,2,9327,63,56053,161
28109,22411,5177,10593,2422,55834,6872
26157,43305,333,34913,21,55729,634
39129,35855,805,26158,695,55698,1881
28073,13675,2231,11741,3619,55658,10883
36035,51304,328,44534,317,55531,1060
54079,23561,13,18587,435,55486,490
45021,35205,7465,26179,8510,55342,11278
13129,19228,1208,15861,1356,55186,2005
12131,15576,2107,16460,4997,55043,3178
42121,65295,414,56359,541,54984,571
51191,38076,947,32830,2312,54876,690
51031,32958,6944,23043,9002,54842,7767
37083,58956,31926,37646,24328,54691,29109
22101,48833,14950,39368,21266,54650,17765
48199,24629,4003,12947,2550,54635,3193
1001,18739,7888,20038,11717,54571,9643
1033,46506,8975,24802,9449,54428,8768
23009,32293,13,35575,33,54418,221
48323,14508,29,5151,96,54258,135
47145,39133,1610,22860,2366,54181,1440
17007,20326,33,15481,43,54165,1064
51089,40335,9110,18459,7462,54151,11841
17029,42860,203,34517,201,53873,2067
54037,18665,2882,15889,3499,53498,3524
17141,38106,31,27864,33,53497,483
48401,36421,10596,26946,11314,53330,9435
1071,36681,2231,32918,3136,53227,1781
39005,38771,138,22975,25,53139,398
39037,45612,259,42933,376,52959,238
1113,46351,22906,25937,20198,52947,22135
17095,61280,1806,46159,770,52919,3810
42127,28237,383,29236,20,52822,1644
47031,28603,1010,15625,1624,52796,1845
22089,21219,5733,11207,6720,52780,14051
29101,28981,866,26297,1251,52595,2279
48467,19091,1427,25651,1534,52579,1427
29113,14783,543,17033,1362,52566,984
55135,35340,5,32782,18,52410,154
22115,18301,2422,17384,3716,52334,7443
39159,22853,314,21871,264,52300,1231
26027,36932,3706,20624,1444,52293,2821
29169,46567,2772,11438,22,52274,5984
47107,33662,1786,21046,1892,52266,2066
13103,10144,3501,9971,4278,52250,7048
23025,39749,12,36301,19,52228,192
37141,18508,8886,15471,7620,52217,9269
22099,29063,10817,23070,9836,52160,16039
29213,10238,0,9134,1,51675,449
36033,44742,62,45717,53,51599,3127
24047,23733,8059,21841,7025,51454,7022
47089,21493,926,17755,1639,51407,1048
55043,44419,7,39007,55,51208,588
48221,5443,50,10008,212,51182,252
28151,78638,43097,48933,41600,51137,36468
36107,37802,189,25624,242,51125,375
37189,17529,228,13556,246,51079,877
5035,47564,28019,22447,19000,50902,26051
48073,33120,8522,29038,7641,50845,7498
13039,9975,3973,7690,5113,50513,9799
17073,49317,506,41736,175,50486,796
36017,43243,204,35575,196,50477,345
1045,31066,5473,21608,5810,50251,9679
36057,57240,229,57567,213,50219,951
17063,22350,17,24162,78,50063,605
18029,28674,236,21396,180,50047,300
1031,30583,6344,26119,5782,49948,8359
44001,37146,57,17602,153,49875,398
48277,34234,6369,46544,10993,49793,6703
42009,42451,162,38879,365,49762,238
12063,36208,11232,29821,14254,49746,13231
47053,44699,9623,41630,9547,49683,9340
47043,18839,1365,19955,3079,49666,2056
48265,16800,702,5505,248,49625,884
21019,52163,921,23444,822,49542,1401
18065,48899,421,29758,415,49462,1070
39149,33586,380,24663,231,49423,935
41009,22379,9,10580,1,49351,207
36023,41113,63,29249,71,49336,760
21073,29421,2473,21135,3746,49285,5128
36039,31372,865,30214,513,49221,2826
19045,55060,334,45394,436,49116,1291
55015,22268,1,16701,3,48971,246
36003,43978,102,41412,325,48946,524
5166,11916,720,NULL,NULL,48914,3112
48465,24461,727,8613,153,48879,746
28149,42206,19660,37488,26191,48773,22920
21113,13625,1254,12613,2962,48586,1499
47105,23757,445,13612,964,48556,533
26123,24160,507,19220,19,48460,495
13175,32313,12026,35501,17544,48434,17324
36025,43540,173,45575,226,47980,779
33003,15829,1,16316,13,47818,139
24035,16569,4458,16839,5814,47798,3298
17117,43524,44,50685,186,47765,359
37013,36014,13276,30877,12941,47759,12223
50011,29474,42,29866,59,47746,213
48349,34423,8531,47070,10968,47735,6606
17177,46207,1445,36821,82,47711,4275
28105,26175,11435,19676,12675,47671,17431
18113,28162,12,24009,26,47536,185
37169,22314,2258,20151,2569,47401,1916
28071,21355,7208,21883,9904,47351,11201
21209,15376,1771,16956,4044,47173,2468
22117,44015,14892,18886,5458,47168,14625
18099,32443,65,24175,71,47051,220
37093,16356,7931,NULL,NULL,46952,15716
21107,38458,3381,34291,6573,46920,3086
22061,28535,11928,18485,7289,46735,18925
45025,33717,12476,26301,10557,46734,15253
51047,15088,4139,13472,5262,46689,7368
26059,34742,28,29673,22,46688,220
42087,44348,119,27785,172,46682,300
37153,39202,11774,19673,9225,46639,14269
5093,70174,20712,30468,13472,46480,15817
12039,41989,24944,22198,14965,46389,25996
21101,33519,3392,29352,6818,46250,3590
19181,20829,6,18194,47,46225,216
18093,36564,109,30625,345,46134,186
54019,61731,7601,51903,9311,46039,2122
41041,24635,10,5587,2,46034,193
48325,18904,174,13415,449,46006,1012
42099,26582,4,24136,73,45969,296
39011,36147,55,31246,36,45949,132
22095,18439,9511,14338,8126,45924,24576
42061,39457,958,38304,305,45913,2392
55005,34270,9,29114,18,45870,407
39091,34803,714,30084,777,45858,742
13009,34064,13481,18354,11005,45720,18965
16011,28218,12,23306,44,45607,105
13071,34048,8211,19789,4617,45498,10210
37181,32002,14017,19425,10004,45422,22645
48373,13861,4068,17459,6594,45413,5211
26023,34903,225,25605,50,45248,1393
42065,46792,31,63090,105,45200,157
29161,25396,151,15796,136,45156,1008
51185,44791,2001,24946,2820,45078,1333
47003,23150,2760,22667,5486,45058,3564
37111,26742,1373,13538,2080,44996,1708
42119,25646,649,16249,59,44947,3324
48013,18828,178,10004,228,44911,359
39015,25178,537,24832,1288,44846,384
53075,31263,24,33280,12,44776,748
13275,34319,14189,29071,17086,44720,16497
55081,31241,53,28881,36,44673,512
47123,23316,908,20716,1167,44519,926
50025,29776,26,26932,45,44513,421
54069,68437,2089,57572,1389,44443,1636
18145,34093,379,26802,483,44436,455
29027,23858,2028,24400,3514,44332,2032
55095,24968,12,21367,5,44205,96
55031,45008,31,47422,184,44159,486
19033,49894,213,25011,148,44151,578
29029,9116,11,11582,46,44002,179
28045,14039,2246,11207,4339,43929,3138
55033,26156,9,25260,12,43857,220
1047,56667,32687,53401,43511,43820,30423
39033,46775,327,34036,77,43784,378
33019,28067,19,19337,27,43742,185
1021,25693,4075,23187,4759,43643,4230
39071,29716,862,28711,1379,43589,604
53065,17884,14,25297,12,43531,145
5154,29427,5561,6765,2524,43475,8437
5091,31686,8081,19555,7163,43462,10667
42083,54517,75,47868,251,43450,1046
21179,22168,1745,16830,2935,43437,2183
39097,26454,1568,19902,745,43435,2862
42115,33137,62,37746,114,43356,156
48473,12071,6466,12138,6712,43205,10739
26151,32314,4,33930,8,43114,150
5159,46577,11558,19020,6207,43055,20795
13137,18116,913,10134,711,43041,1444
48493,13267,257,17066,956,42918,701
36073,34159,1462,32000,147,42883,2523
26107,21051,204,19466,237,42798,1077
29023,34656,2511,20624,1372,42794,2256
48053,9265,171,10755,292,42750,766
19139,33840,144,29505,137,42745,606
39051,29301,36,23914,6,42698,183
54099,38977,24,24081,169,42481,74
26057,37012,51,28820,92,42476,2354
18071,30556,149,24727,136,42376,282
39075,21591,7,17909,8,42366,126
13069,21953,5979,21953,7734,42356,11283
39135,32498,111,23834,265,42270,180
18033,28271,38,25054,21,42223,148
29159,35120,1767,33913,2715,42201,1264
21009,28303,2106,25293,3590,42173,1630
36121,34793,807,31880,88,42155,2375
5055,25198,14,23852,40,42090,233
21211,18493,2479,18041,3991,42074,3146
22009,37606,10448,34102,12039,42073,12398
39027,30004,680,23680,939,42040,932
51171,21825,354,20942,493,41993,734
42117,36614,77,42829,73,41981,333
48499,17653,2738,23417,3926,41964,1972
55115,34351,5,31884,31,41949,143
18037,27463,0,19843,9,41889,122
47099,28049,511,17569,969,41869,642
42123,45582,69,39573,75,41815,149
55075,34660,21,33812,11,41749,108
5139,49518,15034,30723,13747,41639,13721
1123,35007,10112,31034,11457,41616,11083
12121,14961,4064,18603,7813,41551,4754
5005,9943,0,10389,7,41513,67
13233,28015,4454,20203,5697,41475,5190
51195,43579,1228,34162,2861,41452,2137
39123,35323,303,22360,31,41428,324
48481,38152,7803,21123,8889,41280,5817
37059,16728,2065,13394,2350,41240,2593
22119,39701,13677,19186,9900,41207,13823
53047,25520,25,12887,19,41120,159
47051,25528,2271,20491,3126,41052,2109
55093,22503,21,22079,15,41019,232
53037,20467,36,18561,247,40915,364
16017,15587,3,13588,16,40877,58
48249,34548,389,NULL,NULL,40838,237
39107,32559,7,27536,115,40814,101
12075,10364,3132,10361,4727,40801,3832
47013,27936,263,27387,1887,40716,125
37139,25630,10114,16693,8357,40661,15355
19127,37984,253,30279,148,40648,679
28113,35063,15397,37272,17597,40404,20813
29091,22027,86,21065,127,40400,156
19057,44605,489,36145,429,40325,2048
37099,17780,341,12998,603,40271,745
13277,23487,7000,11487,3777,40118,11618
39021,29714,1099,26351,1410,40097,892
39059,38579,688,42716,489,40087,590
12093,6424,1051,NULL,NULL,39996,3203
42031,37408,17,36638,24,39988,484
47177,23102,1117,16534,1949,39839,1142
23013,28575,33,28981,73,39736,197
42109,25922,156,16800,4,39702,428
13213,10447,83,9763,402,39628,245
22069,35653,15529,36455,20334,39566,16362
17055,39281,34,25943,19,39561,123
37145,26394,9306,17356,7474,39464,10646
21071,41642,327,18623,99,39451,294
17121,39349,1344,35094,651,39437,1557
36031,35300,122,33458,82,39370,1073
18061,19207,117,20232,293,39364,178
48459,19793,5123,19960,5649,39309,3416
16069,27066,7,24860,48,39265,117
42035,37619,19,31545,209,39238,625
29201,32748,3166,22372,545,39191,4468
12051,8119,1984,NULL,NULL,39140,5261
47021,9428,623,10540,1593,39105,564
39039,31508,17,24498,23,39037,725
18017,40931,318,36368,240,38966,578
17105,40341,937,40465,397,38950,1915
45029,27816,14214,35390,22296,38892,15178
17081,32315,900,29111,378,38827,3251
23027,22632,18,23383,15,38786,137
42059,39424,360,28882,389,38686,1282
17203,24579,4,20506,37,38664,187
29109,23260,47,26583,91,38634,102
26033,32655,278,24472,43,38520,2509
18083,41561,250,39183,572,38440,1009
48097,22560,847,26603,1688,38437,1054
53017,14890,18,9227,11,38431,128
47047,24577,16927,30257,22702,38413,10784
37197,22804,1128,15428,1174,38406,1192
47045,29537,4359,27721,5685,38335,5477
1053,33511,10960,18889,5569,38319,12220
18107,32089,200,29296,246,38124,327
48049,24728,743,22935,525,38106,1382
48055,17222,2582,24237,5378,38066,2585
19187,47810,350,34629,84,38013,1462
18133,24927,409,20520,221,37963,1505
48143,16236,114,32095,589,37890,451
51683,NULL,NULL,NULL,NULL,37821,5188
24041,21578,5852,19620,6774,37782,4829
1039,35631,5747,32124,8001,37765,4716
17027,24029,75,22832,285,37762,1338
55083,25110,0,25657,2,37660,73
39171,29968,4,25198,5,37642,363
51187,14655,1054,8589,1131,37575,1736
16065,9417,2,NULL,NULL,37536,185
45071,29416,10427,34586,22040,37508,11626
16057,21170,25,18818,28,37244,293
37003,15625,1067,11592,910,37198,2043
21035,20972,644,19867,1069,37191,1392
28093,24503,17239,26796,19342,37144,17439
18087,17380,9,15148,10,37128,117
50003,25088,36,21378,92,37125,308
18069,33814,3,28982,16,37124,160
21083,30021,1573,33539,2899,37121,1607
17057,41954,130,49549,248,37069,1269
26041,34298,23,30108,34,37069,75
28003,25282,3333,18159,4275,37057,4221
41007,27380,70,16106,25,37039,195
28095,33953,12012,35178,19535,36989,11420
21089,29238,151,18475,257,36910,257
5009,16116,3,14318,7,36903,72
18103,38000,630,29350,109,36903,1673
39031,32224,356,30121,97,36901,395
51073,11919,3352,12477,5907,36858,3197
19099,35282,40,27034,182,36842,470
55045,25851,5,21641,6,36842,140
50001,20076,26,20010,45,36821,283
54045,61570,4776,14476,532,36743,788
48321,25744,5323,13594,4457,36702,4200
5063,20048,527,24776,1264,36647,722
26061,35654,25,88098,61,36628,198
13299,34219,8465,22957,8914,36312,10721
48189,36798,1988,7566,5,36273,1925
51083,33637,14812,40044,20013,36241,13293
29225,13753,17,17377,87,36202,326
37165,25183,10374,15363,8473,36157,13943
39127,27864,301,35396,563,36058,93
17103,38749,797,27750,62,36031,1735
55085,22112,7,11433,3,35998,152
22087,32186,2339,5277,1933,35897,6350
19111,44207,1039,36702,1471,35862,1118
51149,20270,4713,7848,4551,35725,11429
48241,22100,5496,14000,4731,35710,5959
47029,23390,712,19399,1051,35662,669
22011,19191,4295,NULL,NULL,35654,4655
21235,25815,150,31982,1111,35637,205
19179,46126,468,37743,624,35625,482
21049,21075,1953,17987,4462,35613,1708
29009,18921,5,23869,6,35597,107
29105,18991,169,17363,216,35571,241
17137,36571,1192,34420,1361,35547,2122
54025,34446,1879,24833,1779,35480,981
23023,22793,121,18574,103,35293,254
51093,17164,9022,14929,7512,35270,8712
36099,31984,326,26972,122,35251,1607
37017,28881,11958,18006,8392,35190,12268
48223,18594,2318,31038,3283,35161,2483
48071,10379,2289,4234,1032,35096,2872
48217,23650,3665,46760,4856,35089,2224
47183,24227,1755,31929,3470,35021,2736
48227,40139,1672,8881,4,35012,2181
17011,37594,35,43975,223,34978,212
45027,29490,20122,32188,23393,34971,17504
51155,27258,1788,17246,2930,34872,1757
28085,26759,8340,28597,12054,34869,10443
12027,11683,2532,14200,2351,34862,4431
39117,19405,10,16815,56,34827,121
17021,37207,106,34594,181,34800,495
28107,28791,16216,31274,21224,34707,16875
55019,31527,30,30074,15,34690,80
39137,28331,5,29972,26,34499,94
23015,18497,3,18216,18,34457,109
45089,40932,27171,37626,23214,34423,22637
18001,24643,1,21840,2,34387,107
1079,24501,5464,21984,6933,34339,3938
17049,23107,6,20055,23,34242,79
1017,37828,13863,36056,18660,34215,13257
18151,17184,25,14274,22,34185,179
28011,54464,36663,48905,42763,34145,21920
22039,31639,8478,NULL,NULL,33984,9632
37113,14935,278,12191,576,33922,447
37055,5935,403,4841,495,33920,834
48147,23880,2446,44801,5366,33915,2312
48477,19145,6106,25561,12017,33718,5947
19167,26375,9,25248,2,33704,129
54077,27233,100,26341,151,33520,361
18051,29949,657,30137,1445,33503,597
51137,12900,2881,13486,5526,33481,4256
18073,18842,8,13044,6,33478,212
17157,29988,1453,29120,1525,33476,3263
48259,5889,40,4517,253,33410,167
22047,29939,14615,30954,19145,33387,16454
29107,25274,968,30154,2869,33381,742
47103,23829,3156,25908,5502,33361,2269
19125,25886,88,22995,93,33309,225
18183,20954,0,16892,40,33292,99
39079,29372,247,30791,708,33225,193
18023,30765,38,26674,84,33224,142
18055,26327,5,36873,85,33165,49
51001,30635,11837,36650,13273,33164,9303
51109,12959,5145,16578,7883,33153,5870
51023,16715,1515,17727,3495,33148,1005
45023,30888,12325,29425,19140,33140,12387
26063,34006,13,34758,8,33118,122
54051,38041,360,32388,575,33107,177
37175,16372,854,7191,638,33090,1292
24011,19462,3928,19216,4787,33066,4585
45067,32014,17582,20596,11208,33062,18476
33007,37140,11,30753,31,33055,148
17133,15507,1,13508,13,32957,69
5059,21893,3193,15022,1960,32923,3568
1109,25987,10740,30815,14437,32899,12054
18169,32605,67,26926,167,32888,163
23029,32908,20,42905,59,32856,140
13261,24652,13015,29092,21243,32819,17001
13219,6304,1393,11104,5162,32808,1635
36095,22616,81,23855,224,32749,435
26165,18466,14,20769,60,32735,129
51117,31428,14703,28956,16394,32727,12050
26047,15904,102,18561,44,32694,156
24019,29666,9013,28669,9421,32618,9042
17109,28928,129,26887,123,32612,1642
29219,8750,356,9123,478,32513,621
18077,24061,392,20483,604,32428,542
5173,36750,17351,24127,11014,32420,25646
51009,22953,5217,18932,7465,32353,6148
48449,16785,2940,16422,3118,32334,3091
47079,22275,3322,25434,5921,32330,2599
28083,47142,30307,36290,30628,32317,23342
28001,37730,18670,25265,18908,32297,17287
47025,19067,304,23504,819,32213,282
51173,31066,504,20326,981,32208,640
29209,8176,3,11559,1,32202,53
45033,30584,14118,22615,11539,32062,14782
48273,30052,1011,NULL,NULL,32061,1201
39065,29633,198,30407,556,32058,259
13145,11167,6107,17886,12865,32024,5506
29069,39139,1613,30328,96,31953,3105
42047,37328,24,35871,34,31946,89
21121,25258,390,22116,1059,31883,346
48025,23755,536,12090,568,31861,2592
47143,15863,639,15410,1316,31809,616
47131,26957,3204,29946,5293,31807,3367
1059,21988,1231,19369,1842,31704,1228
18027,26636,109,27747,210,31648,172
22053,29825,6313,NULL,NULL,31594,5468
21177,27791,1343,28598,2911,31499,1426
21157,16736,10,15771,135,31448,49
41045,22764,74,8601,14,31313,370
50005,22786,26,26031,10,31227,167
29167,13753,0,21561,138,31137,235
39053,26120,1238,25745,1875,30934,812
26035,11647,1,9240,3,30926,149
1093,21837,727,17495,520,30776,1184
12129,5257,1500,4802,2384,30776,4464
23007,20069,4,19119,17,30768,71
54029,39615,1521,10465,37,30676,712
47117,16859,1980,16872,3414,30617,2003
48067,23496,6972,27587,9952,30464,5315
17107,33656,540,30216,377,30305,2285
13029,6226,2298,6702,3337,30233,4286
17135,31244,137,35311,238,30104,952
13305,17921,3788,13069,3309,30099,5996
24023,20420,39,20105,107,30097,301
51035,23178,74,21116,268,30042,178
29207,29490,1994,27807,24,29968,275
13187,7241,127,5444,320,29966,340
28115,17232,3284,19688,4727,29957,4131
53031,9639,16,8337,11,29872,246
55123,25663,7,28116,116,29773,109
17075,33562,145,35543,172,29718,233
28099,20927,4686,17980,2949,29676,6207
26007,28556,1,19965,3,29598,79
47055,22410,4003,32629,10867,29485,3012
28133,45750,30855,28787,23281,29450,21479
28029,27051,14058,35914,19981,29449,14983
13227,8903,386,9041,440,29431,312
54083,26349,260,26028,376,29405,344
39073,20168,154,23650,143,29380,217
21095,51107,4055,10566,564,29278,643
51197,21975,955,20372,2188,29235,818
54035,18541,6,20956,26,29211,85
39047,24775,778,21744,1231,29030,586
45087,30015,8891,29911,15471,28961,9066
50017,16014,10,18703,12,28936,110
45069,28529,13812,31189,18928,28933,14729
51167,26290,503,23474,1025,28897,233
28137,18138,10439,19714,11535,28886,8755
39019,20857,314,15761,25,28836,139
18137,20641,8,19452,31,28818,69
55121,23377,9,22928,2,28816,62
29127,29522,1566,30572,2894,28781,1417
13143,14543,1193,13514,2027,28780,1353
39161,28840,97,29119,327,28744,250
55069,22338,13,19064,12,28743,157
21193,34961,1040,11255,214,28712,435
39131,19380,313,15723,717,28709,258
26105,21929,67,21832,6,28705,172
21013,35336,1271,28447,2920,28691,644
13169,8468,4255,13103,9288,28669,7008
21163,18938,842,9783,655,28602,948
39001,19982,60,24755,184,28550,87
51033,12725,6594,16596,8750,28545,8375
18079,17267,286,14203,295,28525,216
47017,23476,3161,23971,5051,28522,2879
12007,12446,2876,14090,3987,28520,5823
21021,21257,2287,14668,4153,28432,2121
48015,13777,2953,17699,5018,28417,2668
13177,6204,3889,11679,9992,28298,5268
13123,8922,8,9237,71,28292,135
42131,16813,46,15509,12,28276,208
28123,21187,8089,16723,6896,28264,10585
18175,17819,0,17445,8,28262,64
5123,33303,18891,22548,15508,28258,14667
47115,21036,1339,18820,2289,28237,1012
39069,25392,4,25119,8,28215,117
54057,22354,681,16674,601,28212,782
13195,11246,2088,16851,5149,28120,2355
48363,20516,878,19506,528,28111,621
28163,31653,18759,46672,35502,28065,16013
51145,6747,2674,6099,3633,28046,3822
51053,22183,13678,15442,9368,28001,9204
22067,33709,15778,18786,13971,27979,13133
13087,25203,10479,29045,16738,27842,11438
47097,21844,8258,21105,9554,27815,9720
37123,18408,4580,14967,3660,27798,5231
55029,20685,10,18711,3,27785,144
47077,16115,1713,17030,1918,27769,2187
12049,12370,1138,NULL,NULL,27731,1936
21043,20817,11,21966,110,27720,147
13225,13846,8127,NULL,NULL,27695,12715
18179,21220,1,22418,3,27636,96
28127,20454,7194,17201,5969,27503,9666
1005,24700,12840,32728,20456,27457,12875
5015,11284,6,16829,66,27446,103
37039,16335,317,14136,503,27444,350
54053,24459,529,23019,349,27324,171
37009,19768,191,19074,550,27281,161
47069,21517,8391,23011,10098,27253,11281
50019,20143,9,23337,20,27231,162
13279,16837,4731,11206,3411,27223,6767
13293,23800,6682,12757,6998,27153,7590
13311,6935,299,5110,397,27144,457
28145,18904,3312,18997,4216,27134,3935
12003,7363,1597,4805,1159,27115,3680
28091,23293,7883,15599,6063,27088,8752
36049,23249,10,24849,13,27087,184
16039,16719,333,4785,1,27038,733
45037,15735,9153,28281,20114,26985,10030
37007,24962,11961,25465,13326,26948,13090
18021,24207,189,32535,227,26890,87
54059,39742,2053,19431,1236,26839,473
21141,20896,2316,24977,5349,26835,1767
1061,22310,3358,26230,4305,26790,2539
55057,17490,8,19569,13,26664,557
22031,24248,13949,27689,17932,26656,10449
48185,12709,4844,21205,9858,26604,4390
26127,16547,66,18379,25,26570,119
21173,13461,1312,12868,3192,26499,731
24039,19623,7300,26455,9476,26470,11192
13207,10495,5076,20450,13656,26424,6268
48463,16814,153,11233,262,26405,170
48407,6153,3208,9542,5193,26384,2710
19015,28037,29,27626,105,26306,206
54067,25414,6,17699,48,26233,43
5184,15110,1183,5864,1038,26203,2864
13257,18391,2555,9728,2222,26175,2845
18135,28434,90,29013,235,26171,117
26043,23917,5,20524,9,26168,87
26031,14550,7,17872,34,26152,133
28027,46212,31440,34217,30382,26151,19752
16051,11672,9,NULL,NULL,26140,52
5103,31641,12161,21774,12333,26120,10468
19011,23422,12,23156,9,26076,102
47109,18085,1248,16356,1557,26075,1550
47071,17397,1084,17521,2170,26026,896
13055,19954,1838,13608,2454,26015,2899
29215,17758,5,21458,2,26008,876
1019,16303,1685,20226,2606,25989,1208
5023,9059,1,11903,7,25970,72
26029,13421,5,19157,89,25949,80
18129,19214,278,21670,963,25910,233
26069,16505,107,9753,5,25887,122
47185,15577,428,15420,899,25841,459
1025,25738,12744,30987,17311,25833,11336
22003,19867,4751,NULL,NULL,25764,5985
41061,18180,74,16191,21,25748,132
21085,15834,80,19958,333,25746,264
18031,20019,3,18793,89,25740,82
26051,10769,1,8413,37,25692,60
51065,7227,2722,8323,3374,25691,3938
29001,20105,70,22700,216,25607,408
51105,25824,167,23840,952,25587,947
5071,12421,259,19698,517,25540,364
29007,26079,1654,21687,1617,25529,1646
13267,15837,5033,18569,5841,25520,7465
48419,20479,5248,26423,5274,25448,4432
45001,21417,6851,34804,22522,25417,7187
29175,22014,1133,26182,2458,25414,1490
36123,18614,121,18642,134,25348,203
28117,17949,2185,16931,2875,25276,3488
41057,18955,10,6266,1,25250,85
13147,15229,3727,16216,5080,25213,4710
41065,20205,45,16336,31,25213,106
29221,14346,135,13378,403,25195,557
13131,18015,6661,18457,7403,25011,7176
19149,23906,2,23129,10,24986,76
21239,11913,1563,12571,3724,24939,1230
17165,26227,845,30204,918,24913,995
12133,11249,2175,16403,4965,24896,3745
48171,10048,16,9447,116,24837,89
51775,NULL,NULL,NULL,NULL,24802,1763
45053,12237,7616,NULL,NULL,24777,11406
48331,22263,4019,36780,9485,24757,2473
29131,13800,20,16717,96,24748,99
21137,16503,909,17897,2955,24742,565
26101,19042,86,26688,20,24733,723
29055,12647,4,13576,35,24696,67
47081,11862,634,16527,2430,24690,1120
37091,22718,13398,15436,9098,24669,14933
21081,9489,59,10581,292,24662,178
18181,19709,0,17602,11,24643,68
42067,15874,10,15013,171,24636,151
54005,28764,342,10331,164,24629,122
5111,30834,3236,12791,2121,24583,1775
48149,20384,2874,29796,7361,24554,1632
5027,26400,9504,23820,10869,24552,9059
21133,30102,729,10623,17,24519,85
21217,16285,917,11961,1429,24512,1216
37117,27139,13554,17797,8838,24505,10651
55137,13497,3,18886,11,24496,454
55137,13497,3,18886,11,24496,454
1133,14858,77,12855,54,24484,115
50015,11027,2,12585,3,24475,149
26143,7200,0,2274,2,24449,91
5163,13639,2593,5874,1480,24286,5498
18041,24454,486,14415,440,24277,322
19017,21108,21,15843,6,24276,191
54097,18292,71,16629,226,24254,158
22085,18564,4380,19874,4164,24233,4026
18143,14643,3,8323,1,24181,57
26137,7545,9,6552,1,24164,80
51027,36724,2,12334,4,24098,616
54009,28940,410,11098,151,24069,281
51139,15572,477,14147,1166,24042,466
26109,24685,3,25648,7,24029,72
54027,11705,162,11694,303,23964,240
45039,20713,12318,29442,22377,23956,14167
21183,17725,338,27642,1288,23842,196
28079,18660,7582,18298,6171,23805,9654
48365,16870,5174,20424,8842,23796,3867
54109,34836,1279,10392,105,23796,117
22121,14796,7294,12636,9223,23788,8972
39105,22159,337,25594,690,23770,206
5179,22232,2201,10604,2476,23746,2885
48225,19376,7444,29564,12548,23732,6179
37033,19912,9549,14858,7651,23719,8020
55049,19631,10,22497,20,23687,87
13111,13620,44,12574,162,23682,83
13035,8976,4183,13624,7200,23655,6469
51099,7243,1950,6378,2913,23584,4214
26009,10373,7,15692,35,23580,41
37053,6601,2083,7693,2598,23547,1361
26133,13595,33,17889,39,23528,133
13205,19652,10020,22114,11649,23498,11219
29177,16075,355,21451,1215,23494,280
