"county","total_1960","black_1960","total_1910","black_1910","total_2010","black_2010"
12083,51616,18001,26941,16376,331298,40828
34035,143913,4476,38820,1414,323444,28943
12081,69168,10452,9550,2346,322833,28230
12021,15753,2280,NULL,NULL,321520,21087
42079,346972,1081,343186,924,320918,10767
37051,148418,37690,35284,15353,319431,117117
2951,750026,214377,687029,43960,319294,157160
51041,71197,9405,21299,7527,316236,69412
41047,120888,226,39780,58,315335,3371
48039,76204,9073,13299,6237,313166,37761
51107,24549,4335,21167,5221,312311,22710
36087,136803,6854,46873,1534,311687,37058
48027,94097,10651,49186,6302,310235,66700
17111,84210,22,32509,29,308760,3283
51087,117339,5989,23437,6837,306935,90669
36001,272926,11210,173666,1222,304204,38609
39093,217500,12234,76037,1521,301356,25799
42095,201412,2297,127667,615,297735,14986
12033,173829,35856,38029,15111,297619,68282
36027,176008,9917,87661,2367,297488,29518
12069,57383,11122,9509,3627,297052,29103
21067,131906,20037,47715,14879,295803,42972
17201,209765,8574,63153,257,295266,36108
33015,99029,1375,52188,158,295223,1996
48167,140364,29846,44479,8747,291309,40112
34015,134840,12262,37368,2375,288288,29006
24027,36152,4049,16106,3772,287085,50188
45083,156830,34660,83465,26410,284307,58565
23005,182751,648,112014,428,281674,6781
26065,211296,7447,53310,404,280895,33047
42049,250682,6994,115517,392,280566,20155
48303,156271,12306,3624,5,278831,20952
12111,39294,12732,4075,865,277789,53036
12073,74225,24282,19427,14726,275487,83520
29077,126276,2358,63831,2625,275174,7892
18057,40132,319,27026,555,274569,9603
34001,160880,28225,71894,10782,274549,44138
9011,185745,4566,91253,1431,274055,16025
17163,262509,47857,119870,8110,270056,82302
45051,68247,18199,26995,6668,269291,36202
17119,224689,11933,89847,3146,269282,21235
12097,19029,1977,5507,927,268685,30369
42043,220255,21172,136152,6536,268100,48386
37063,111995,35862,35276,12383,267587,101577
18141,238614,14022,84312,722,266931,33958
13051,188299,63930,79690,43981,265128,106392
26139,98719,211,45301,42,263801,3874
47149,52368,7108,33199,11357,262604,32886
45063,60726,10460,32040,11638,262391,37522
13063,46365,4745,10453,4632,259424,171480
22017,223859,81486,58200,36142,254969,120264
48245,245659,57171,38182,10676,252273,85291
53067,55049,68,17581,24,252264,6752
53035,84176,1243,17647,43,251133,6650
26077,169712,5756,60427,790,250331,27266
48479,64791,208,22503,38,250304,1132
55009,125082,128,54098,69,248007,5491
12001,74074,19412,34305,19092,247336,50282
28049,187045,74750,63726,45407,245285,169370
24025,76722,7420,27965,5116,244826,31058
53077,145112,1626,41709,354,243231,2320
5171,305872,78806,67452,25039,242803,104672
39099,300480,34949,116151,2083,238823,37433
37021,130074,14040,49798,7982,238318,15211
42041,124816,1847,54479,1788,235406,7527
48309,150091,24036,73250,17234,234906,34767
36065,264401,4768,154157,632,234878,14688
22103,38643,10532,18917,6731,233740,26645
24021,71930,5083,52673,5399,233385,20148
39085,148700,1963,22927,237,230041,7306
1101,169210,64474,82178,56867,229363,125477
45091,78760,22181,47718,25275,226073,43003
5155,NULL,NULL,NULL,NULL,222209,66237
29047,87474,723,20302,1052,221939,11506
22055,84656,20317,28733,10734,221578,57073
5007,36272,23,33389,110,221339,2814
36091,89096,811,61917,697,219607,3269
29099,66377,831,27878,1565,218733,1798
36063,242269,8030,92036,435,216469,14851
25001,70286,1702,27542,897,215888,4062
42069,234531,763,259570,696,214437,5423
13057,23001,902,16661,1168,214346,12117
39165,65711,909,24497,729,212693,6940
19113,136899,1183,60720,258,211226,8346
39155,208526,11731,52766,208,210312,17417
48423,86350,23341,41746,17246,209714,37629
42125,217271,9134,143680,5888,207820,6757
51013,163401,8590,NULL,NULL,207627,17632
37071,127074,16560,37063,8502,206086,31431
5176,219958,91972,127628,46733,204214,103342
13151,17619,7495,19927,10184,203922,75277
41029,73962,32,25756,41,203206,1372
5143,55797,466,33889,614,203065,6006
37129,71742,19865,32037,15302,202667,29907
37179,44670,9562,33277,9337,201292,23558
