"point_id","x","y","total_1860","total_1830","slaves_1830","total_1790","slaves_1790","slaves_1860","free_blacks_1860","total_1910","black_1910","total_1970","jail_1970","black_1970","total_2010","black_2010","jail_2010","jail_black_2010","total_2014","total_prison_2014","black_2014","jail_2014","jail_black_2014","prison_2014"
866,91255.691,1185612.069,20.7631645,6.098,0,0,0,0,0,1000.876709,0.56925,2157.876953,1.722750068,2.045500279,1151.508423,3.532088041,3.794904709,0.0347431,1150.735596,1150.735596,18.13264656,3.832361698,0.145594806,0.367799491
1842,-1664515.549,982044.3887,5.1995826,0,0,0,0,0,0.0261391,1345.630371,1.9086131,1229.641846,1.7950418,1.642638922,1178.93335,5.798686981,5.086577416,0.036959197,1150.916992,1150.916992,0,3.445053816,0,0.076767601
1787,752850.651,1007490.349,6.8370004,7.983,0,0,0,0,0.3505,1776.162231,1.023,1683.067749,0.362749994,0.613750041,1156.556885,2.395107985,3.911027432,0.096571498,1151.523193,1151.523193,5.863572121,3.372238636,0.117240503,0.097720496
7907,-977474.629,15097.9087,7.7068892,0,0,0,0,0,0.0000201,609.045105,1.2905174,504.2880249,0.0001536,2.766224384,1108.852905,8.991249085,2.937202931,0.0000201,1152.668945,1152.668945,8.327913284,3.436717987,0.0000457,0.169337094
2346,-112311.989,905706.5087,0,0,0,0,0,0,0,2716.453857,1.0480846,1820.852783,1.108266592,0.201813296,1154.965088,3.949866772,1.228984952,0,1153.215454,1153.215454,2.525754452,0.889133811,0.093593098,0.175377592
8999,-1231934.229,-163023.8113,90.8666077,0,0,0,0,0,0,206.1257477,0.1894172,726.635437,0.30765,9.468096733,1039.729248,7.848181725,1.689652085,0.098514304,1153.430298,1153.430298,10.17211819,1.9903301,0.102683403,0.137692303
11445,-341325.629,-646497.0513,0,0,0,0,0,0,0,4381.370117,46.229496,2051.734131,1.72631073,49.49851227,1150.27124,29.80984116,2.852112293,0.122526802,1154.006592,1154.006592,34.91313934,2.720293999,0.0848438,0.653883696
10953,472945.091,-519267.2513,2682.178467,1402.3,536.856933594,0,0,2477.92627,0.0229306,7685.265137,6974.481934,3585.852783,2.147856236,2300.786865,1293.326782,886.6293945,95.05177307,66.71601105,1154.669678,1154.669678,772.824646,94.71435547,16.9720192,0.330128104
9865,-1359164.029,-315699.5713,22.6580009,0,0,0,0,0,0.0235,852.2617798,11.7820005,1525.135742,1.052250028,3.805749893,1124.758667,8.993037224,4.848983765,0.131671295,1155.185425,1155.185425,4.77238369,5.33377552,0.0789406,0.495868921
3424,-112311.989,727584.7887,0,0,0,0,0,0,0,3857.921387,0.1693786,3128.401367,1.131788015,0.508038402,1185.87207,6.082195759,0.876405239,0,1155.205688,1155.205688,6.072537422,0.958318591,0,0.289058
1529,-2046204.949,1032936.309,500.8424988,0,0,0,0,0,0.4092166,2046.005127,0.56895,3153.007813,1.865575075,2.137424946,1220.004028,7.861225128,1.823399901,0.076675005,1156.208496,1156.208496,4.102324963,1.517275095,0.025374999,0.17507501
968,-392217.549,1160166.109,0,0,0,0,0,0,0,1782.815552,0.626074,2955.965576,0.811200321,44.93420792,1157.968384,4.863359928,3.213400364,0.029671002,1156.685303,1156.685303,0.698361993,2.83629632,0.0036188,0.273263603
928,-1410055.949,1160166.109,1.7887499,0,0,0,0,0,0.0035,917.7988892,4.090364,641.8955688,0.492343992,2.487833977,1161.784912,6.383601189,3.907072783,0.081499398,1157.209595,1157.209595,6.730300903,3.854965925,0.075954393,0.165617093
10172,-468555.429,-366591.4913,0,0,0,0,0,0,0,1045.486206,0,2295.290527,0.549991965,159.9151306,1198.066162,40.49537659,0,0,1157.420166,1157.420166,34.09391403,0,0,0.293943495
10061,91255.691,-341145.5313,0,39.9996,4.2493577004,0,0,0,0,2440.768066,353.2390442,2721.304443,4.847964287,270.383667,1155.339111,10.69482613,5.18086195,0.45222339,1159.296143,1159.296143,15.1404295,2.040334702,0.54624784,0.381670177
3798,1109094.091,676692.8687,36.6471519,504.445,0,0,0,0,0.073008,72.1001511,0.089538,1329.665283,0.956427753,19.75159454,1274.467529,248.7555237,4.40099144,21.06501389,1159.670898,1159.670898,169.472702,4.485722542,20.63497734,0.138928607
