"county","black_pop_1980","total_pop_1980","black_pop_2010","total_pop_2010","black_pop_2000","total_pop_2000","black_pop_1960","total_pop_1960","black_pop_1910","total_pop_1910"
1047,29488,53981,30423,43820,29332,46365,32687,56667,43511,53401
1049,939,53658,1078,71109,1083,64452,819,41417,854,28261
1051,9655,43390,15900,79303,13597,65874,10301,30524,13246,28245
1053,11376,38440,12220,38319,11837,38440,10960,33511,5569,18889
1055,13809,103057,15796,104430,15191,103459,14958,96980,6804,39109
1057,2396,18809,1969,17241,2207,18495,2573,16148,1866,16248
1059,1301,28350,1228,31704,1314,31223,1231,21988,1842,19369
1061,3082,24253,2539,26790,2743,25764,3358,22310,4305,26230
1063,8596,11021,7370,9045,8013,9974,11050,13600,19705,22717
1065,9799,15604,9301,15760,10131,17185,13809,19537,21987,27883
