"county","jail_2014","jail_1970","jail_1980","jail_1990","jail_2000"
5147,457.98,187.06,135.72,150.81,271.91
5149,175.16,35.35,67.75,81.94,170.6
11001,433.33,647.21,421.14,372.83,360.03
12001,458.58,171.11,126.27,406.43,497.17
12003,189.1,70.39,107.2,198.75,196.31
12005,736.73,225.14,223.34,552.04,744.37
12007,760.91,129.34,95.26,215.85,529.03
12009,412.33,55.91,98.34,302.62,388.29
12011,353.86,198.58,154.04,394.18,459.23
12013,572.74,201.52,143.16,215.36,383.67
12015,727.75,186.35,112.99,182.31,269.96
12017,511.34,140.53,157.24,226.08,432.79
12019,327.46,84.41,85.12,147.12,251.84
12021,428.42,664.25,256.39,470.29,437
12023,465.29,190.64,205.73,547.3,787.19
12027,721.4,549.24,297.28,514.44,594.68
12029,692.49,122.93,324.95,204.68,829.8
12031,552.2,274.56,272.97,452.55,503.25
12033,753.89,255.01,236.78,582.82,659.57
12035,226.3,674.07,251.84,271.68,292.4
12037,858.2,203.82,139.33,344.7,1315.59
12039,673.4,170.44,228.16,365.29,505.66
12041,347.7,326.49,56.66,279,276.24
12043,1934.67,964.63,281.91,240.75,439.06
12045,350.88,65.23,175.46,451.46,349.06
12047,470.91,550.21,300.49,839.79,603.81
12049,561.15,340.99,323.71,624.04,620.59
12051,699.53,422,193.39,611.84,622.14
12053,432.73,693.73,150.11,296.68,325.21
12055,784.4,377.1,196.22,393.01,644.75
12057,315.27,153.73,254.23,346.79,475.52
12059,628.68,15.48,87.33,149.28,284.37
12061,552.55,277.49,164.36,496.93,603.86
12063,588.14,236.14,148.72,332.15,607.56
12065,383.44,123.58,96.15,320.75,654.31
12067,327.71,415.68,216.78,208.39,309.59
12069,436.9,300.17,208.48,234.33,449.23
12071,416.61,192,154.06,342.39,436.2
12073,544.09,164.49,147.42,330.48,572.7
12075,511.35,162.05,115.64,318.43,449.13
12077,847.18,244.98,96.62,187.79,382.38
12079,389.99,174.98,129.78,223.55,620.05
12081,483.1,157.57,166.9,387.68,665.29
12083,725.76,300.3,194.76,570.96,817.95
12085,666.31,305.03,177.45,491.16,679.16
12086,276.24,216.9,160.94,346.46,456.34
12087,903.46,297.61,255.88,493.98,903.94
12089,467.98,152.54,172.52,241.93,271.21
12091,457.52,128.29,130.19,267.89,403.07
12093,969.9,429.18,263.85,657.24,917.02
12095,328.58,228.66,237.79,614.04,663.74
12097,473.89,143.57,159.18,400.8,631.27
12099,265.74,277.76,179.65,332.92,368.34
12101,494.11,134.85,124.77,201.1,322.61
12103,451.64,156.06,189.95,354.96,440.95
12105,612.18,258.71,211.09,490.12,596.56
12107,701.05,198.31,265.58,466.68,487.02
12109,302.3,175.82,160.57,389.46,452.36
12111,652.2,629.44,276.78,597.12,735.44
12113,448.99,115.9,139.92,193.48,386.31
12115,454.48,203.55,155.94,263.41,406.8
12117,238.51,110.38,123.26,301.88,319.08
12119,423.28,309.22,180.4,566.61,388.16
12121,603.53,184.48,197.43,286.88,671.95
12123,718.36,495.23,173.48,474.46,793.53
12125,192.25,183.46,185,223.76,158.86
12127,461.21,193.84,329.46,571.47,515.22
12129,392.89,134.55,125.71,393.46,610.44
12131,708.09,40.85,159.11,292.28,408.9
12133,499.88,119.69,139.62,190.77,409.4
13001,561.99,13.37,112.73,191.15,317.63
13003,192.05,29.83,126.28,102.56,100.91
13005,840.92,119.59,155.95,351.58,793.77
13007,406.17,0,209.15,395.68,189.69
13009,592.08,72.19,133.67,296.41,408.61
13011,300.28,47.35,82.08,265.28,271.36
13013,543.58,174.47,90.34,230.01,325.62
