"point_id","x","y","slaves_1860","total_1860"
1,-1969867,1567301,"",0.61826
2,-1944421,1567301,"",1.02147
3,-2122543,1541856,"",1.12197
4,-2097097,1541856,"",0.395989
5,-1995313,1541856,"",0.61826
6,-1969867,1541856,"",2.17735
7,-1944421,1541856,"",20.4026
8,-1918975,1541856,"",16.1823
9,-1893529,1541856,"",9.82496
10,-1868083,1541856,"",3.8574
11,-1842637,1541856,"",0.094083
12,-2122543,1516410,"",8.24977
13,-2097097,1516410,"",14.4668
14,-2071651,1516410,"",1.01637
15,-1995313,1516410,"",6.57237
16,-1969867,1516410,"",8.79004
17,-1944421,1516410,"",13.4942
18,-1918975,1516410,"",21.5047
19,-1893529,1516410,"",21.5047
20,-1868083,1516410,"",21.5047
21,-1842637,1516410,"",19.5558
22,-1817191,1516410,"",11.5083
23,-1791745,1516410,"",5.39835
24,-1766299,1516410,"",1.62397
25,-2122543,1490964,"",12.9839
26,-2097097,1490964,"",21.1194
27,-2071651,1490964,"",16.6843
28,-2046205,1490964,"",7.73499
29,-2020759,1490964,"",0.211194
30,-1995313,1490964,"",0.0403213
31,-1969867,1490964,"",11.1407
32,-1944421,1490964,"",19.2467
33,-1918975,1490964,"",21.5047
34,-1893529,1490964,"",21.5047
35,-1868083,1490964,"",21.5047
36,-1842637,1490964,"",21.5047
37,-1817191,1490964,"",17.5564
38,-1791745,1490964,"",14.2766
39,-1766299,1490964,"",14.2766
40,-1740853,1490964,"",12.2511
41,-1715407,1490964,"",8.6552
42,-1689962,1490964,"",5.08605
43,-1664516,1490964,"",1.57935
44,-2122543,1465518,"",25.2968
45,-2097097,1465518,"",68.7727
46,-2071651,1465518,"",49.6957
47,-2046205,1465518,"",29.3233
48,-2020759,1465518,"",20.2218
49,-1995313,1465518,"",28.471
50,-1969867,1465518,"",13.4143
51,-1944421,1465518,"",26.5674
52,-1918975,1465518,"",27.4432
53,-1893529,1465518,"",24.6222
54,-1868083,1465518,"",22.0032
55,-1842637,1465518,"",17.0639
56,-1817191,1465518,"",15.0807
57,-1791745,1465518,"",14.2766
58,-1766299,1465518,"",14.2766
59,-1740853,1465518,"",14.2766
60,-1715407,1465518,"",14.2766
61,-1689962,1465518,"",14.2766
62,-1664516,1465518,"",14.2766
63,-1639070,1465518,"",12.4207
64,-1613624,1465518,"",8.66201
65,-1588178,1465518,"",1.97318
66,-1562732,1465518,"",0.297362
67,-1537286,1465518,"",0.0100611
68,-2122543,1440072,"",10.7705
69,-2097097,1440072,"",51.6397
70,-2071651,1440072,"",70.5174
71,-2046205,1440072,"",83.1859
72,-2020759,1440072,"",70.9317
73,-1995313,1440072,"",71.9501
74,-1969867,1440072,"",38.5705
75,-1944421,1440072,"",26.0519
76,-1918975,1440072,"",31.602
77,-1893529,1440072,"",31.602
78,-1868083,1440072,"",31.3875
79,-1842637,1440072,"",16.9125
80,-1817191,1440072,"",14.2766
81,-1791745,1440072,"",14.2766
82,-1766299,1440072,"",14.2766
83,-1740853,1440072,"",14.2766
84,-1715407,1440072,"",14.2766
85,-1689962,1440072,"",14.2766
86,-1664516,1440072,"",14.2766
87,-1639070,1440072,"",13.2151
88,-1613624,1440072,"",3.32623
89,-1588178,1440072,"",1.78865
90,-1562732,1440072,"",1.78865
91,-1537286,1440072,"",1.67015
92,-1511840,1440072,"",1.28782
93,-1486394,1440072,"",0.904384
94,-1460948,1440072,"",0.523179
95,-1435502,1440072,"",0.145327
96,-2122543,1414626,"",8.35554
97,-2097097,1414626,"",22.533
98,-2071651,1414626,"",22.283
99,-2046205,1414626,"",27.9848
100,-2020759,1414626,"",85.8829
101,-1995313,1414626,"",151.492
102,-1969867,1414626,"",50.0947
103,-1944421,1414626,"",33.3743
104,-1918975,1414626,"",32.4485
105,-1893529,1414626,"",31.6839
106,-1868083,1414626,"",20.752
107,-1842637,1414626,"",14.2766
108,-1817191,1414626,"",14.2766
109,-1791745,1414626,"",14.2766
110,-1766299,1414626,"",13.8786
111,-1740853,1414626,"",14.2766
112,-1715407,1414626,"",14.2766
113,-1689962,1414626,"",14.2766
114,-1664516,1414626,"",14.2766
115,-1639070,1414626,"",6.60432
116,-1613624,1414626,"",1.78865
117,-1588178,1414626,"",1.78865
118,-1562732,1414626,"",1.78865
119,-1537286,1414626,"",1.78865
120,-1511840,1414626,"",1.78865
121,-1486394,1414626,"",1.78865
122,-1460948,1414626,"",1.78865
123,-1435502,1414626,"",1.78529
124,-1410056,1414626,"",1.555
125,-1384610,1414626,"",1.20063
126,-1359164,1414626,"",0.849607
127,-1333718,1414626,"",0.361083
128,-1308272,1414626,"",""
129,2076041,1414626,"",69.4292
130,-2122543,1389180,"",13.3707
131,-2097097,1389180,"",43.8842
132,-2071651,1389180,"",34.1492
133,-2046205,1389180,"",21.9209
134,-2020759,1389180,"",81.7594
135,-1995313,1389180,"",159.616
136,-1969867,1389180,"",24.1659
137,-1944421,1389180,"",35.0483
138,-1918975,1389180,"",35.0483
139,-1893529,1389180,"",34.8305
140,-1868083,1389180,"",18.5402
141,-1842637,1389180,"",14.2766
142,-1817191,1389180,"",14.2766
143,-1791745,1389180,"",12.7625
144,-1766299,1389180,"",3.67745
145,-1740853,1389180,"",5.13698
146,-1715407,1389180,"",8.07166
147,-1689962,1389180,"",14.2766
148,-1664516,1389180,"",13.9254
149,-1639070,1389180,"",3.72428
150,-1613624,1389180,"",1.78865
151,-1588178,1389180,"",1.78865
152,-1562732,1389180,"",1.78865
153,-1537286,1389180,"",1.78865
154,-1511840,1389180,"",1.78865
155,-1486394,1389180,"",1.78865
156,-1460948,1389180,"",1.78865
157,-1435502,1389180,"",1.78865
158,-1410056,1389180,"",1.78865
159,-1384610,1389180,"",1.78865
160,-1359164,1389180,"",1.78865
161,-1333718,1389180,"",1.4734
162,-1308272,1389180,"",0.278358
163,-1282826,1389180,"",""
164,-1257380,1389180,"",""
165,-1231934,1389180,"",""
166,-1206488,1389180,"",""
167,-1181042,1389180,"",""
168,-1155596,1389180,"",""
169,1999703,1389180,"",275.659
170,2025149,1389180,"",226.802
171,2050595,1389180,"",262.802
172,2076041,1389180,"",753.949
173,2101487,1389180,"",645.434
174,2126932,1389180,"",114.172
175,-2122543,1363734,"",12.1197
176,-2097097,1363734,"",41.9158
177,-2071651,1363734,"",43.6334
178,-2046205,1363734,"",95.7732
179,-2020759,1363734,"",185.842
180,-1995313,1363734,"",132.657
181,-1969867,1363734,"",91.6058
182,-1944421,1363734,"",35.0483
183,-1918975,1363734,"",33.3736
184,-1893529,1363734,"",18.5608
185,-1868083,1363734,"",14.2766
186,-1842637,1363734,"",14.2766
187,-1817191,1363734,"",9.49217
188,-1791745,1363734,"",2.08524
189,-1766299,1363734,"",1.78865
190,-1740853,1363734,"",1.78865
191,-1715407,1363734,"",2.59256
192,-1689962,1363734,"",7.86873
193,-1664516,1363734,"",6.91652
194,-1639070,1363734,"",1.78865
195,-1613624,1363734,"",1.78865
196,-1588178,1363734,"",1.78865
197,-1562732,1363734,"",1.78865
198,-1537286,1363734,"",1.78865
199,-1511840,1363734,"",1.78865
200,-1486394,1363734,"",1.78865
201,-1460948,1363734,"",1.78865
202,-1435502,1363734,"",1.78865
203,-1410056,1363734,"",1.78865
204,-1384610,1363734,"",1.78865
205,-1359164,1363734,"",1.78865
206,-1333718,1363734,"",1.78865
207,-1308272,1363734,"",0.836192
208,-1282826,1363734,"",""
209,-1257380,1363734,"",""
210,-1231934,1363734,"",""
211,-1206488,1363734,"",""
212,-1181042,1363734,"",""
213,-1155596,1363734,"",""
214,-1130150,1363734,"",""
215,-1104704,1363734,"",""
216,-1079258,1363734,"",""
217,-1053813,1363734,"",""
218,-1028367,1363734,"",""
219,-1002921,1363734,"",""
220,-977475,1363734,"",""
221,1999703,1363734,"",609.434
222,2025149,1363734,"",801.778
223,2050595,1363734,"",817.721
224,2076041,1363734,"",822.864
225,2101487,1363734,"",822.864
226,2126932,1363734,"",461.318
227,-2122543,1338288,"",42.1764
228,-2097097,1338288,"",113.382
229,-2071651,1338288,"",46.0739
230,-2046205,1338288,"",248.52
231,-2020759,1338288,"",365.721
232,-1995313,1338288,"",200.15
233,-1969867,1338288,"",177.392
234,-1944421,1338288,"",138.701
235,-1918975,1338288,"",63.0565
236,-1893529,1338288,"",14.5363
237,-1868083,1338288,"",14.2766
238,-1842637,1338288,"",14.2766
239,-1817191,1338288,"",6.69798
240,-1791745,1338288,"",1.78865
241,-1766299,1338288,"",1.78865
242,-1740853,1338288,"",1.78865
243,-1715407,1338288,"",1.78865
244,-1689962,1338288,"",1.78865
245,-1664516,1338288,"",1.80426
246,-1639070,1338288,"",1.78865
247,-1613624,1338288,"",1.78865
248,-1588178,1338288,"",1.78865
249,-1562732,1338288,"",1.78865
250,-1537286,1338288,"",1.78865
251,-1511840,1338288,"",1.78865
252,-1486394,1338288,"",1.78865
253,-1460948,1338288,"",1.78865
254,-1435502,1338288,"",1.78865
255,-1410056,1338288,"",1.78865
256,-1384610,1338288,"",1.78865
257,-1359164,1338288,"",1.78865
258,-1333718,1338288,"",1.78865
259,-1308272,1338288,"",1.73387
260,-1282826,1338288,"",0.131913
261,-1257380,1338288,"",""
262,-1231934,1338288,"",""
263,-1206488,1338288,"",""
264,-1181042,1338288,"",""
265,-1155596,1338288,"",""
266,-1130150,1338288,"",""
267,-1104704,1338288,"",""
268,-1079258,1338288,"",""
269,-1053813,1338288,"",""
270,-1028367,1338288,"",""
271,-1002921,1338288,"",""
272,-977475,1338288,"",""
273,-952029,1338288,"",""
274,-926583,1338288,"",""
275,-901137,1338288,"",""
276,-875691,1338288,"",""
277,-850245,1338288,"",""
278,-824799,1338288,"",""
279,-799353,1338288,"",""
280,1974257,1338288,"",78.1721
281,1999703,1338288,"",813.607
282,2025149,1338288,"",822.864
283,2050595,1338288,"",822.864
284,2076041,1338288,"",822.864
285,2101487,1338288,"",822.864
286,2126932,1338288,"",715.892
287,2152378,1338288,"",1.02858
288,-2147989,1312842,"",0.852199
289,-2122543,1312842,"",99.9913
290,-2097097,1312842,"",124.759
291,-2071651,1312842,"",51.8852
292,-2046205,1312842,"",91.6372
293,-2020759,1312842,"",205.852
294,-1995313,1312842,"",254.503
295,-1969867,1312842,"",202.368
296,-1944421,1312842,"",184.911
297,-1918975,1312842,"",66.5713
298,-1893529,1312842,"",14.2766
299,-1868083,1312842,"",14.2766
300,-1842637,1312842,"",14.2766
301,-1817191,1312842,"",10.5849
302,-1791745,1312842,"",1.78865
303,-1766299,1312842,"",1.78865
304,-1740853,1312842,"",1.78865
305,-1715407,1312842,"",1.78865
306,-1689962,1312842,"",1.78865
307,-1664516,1312842,"",1.78865
308,-1639070,1312842,"",1.78865
309,-1613624,1312842,"",1.78865
310,-1588178,1312842,"",1.78865
311,-1562732,1312842,"",1.78865
312,-1537286,1312842,"",1.78865
313,-1511840,1312842,"",1.78865
314,-1486394,1312842,"",1.78865
315,-1460948,1312842,"",1.78865
316,-1435502,1312842,"",1.78865
